Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196501,   8.4547,   6.3220,   6.7925,   6.6756,   8.8894,   7.8767,   5.2579,   6.3294,   5.6388,   6.1740,   5.2554,   6.2051,   5.1121,   6.0758,   7.1104,   6.5896,   4.2828,   5.0384,   5.1165,   6.6788,   4.7197,   1.2516,   2.8219,   3.5352,   3.6051
196502,   1.8631,   0.4937,   2.7483,   3.2606,   3.6912,   3.3729,   4.1992,   3.6189,   3.5286,   3.8890,   3.8479,   4.4317,   4.8024,   3.2147,   3.8834,   1.5070,   3.4185,   4.0669,   3.1987,   1.0496,   0.1871,  -0.0379,  -0.1269,  -0.5341,  -1.1896
196503,   1.6603,   2.3560,   1.2940,   2.5157,   3.2649,   2.0932,  -1.9256,   1.4205,   1.8682,   0.6130,  -0.1958,  -0.0580,  -0.2656,   1.3259,   1.2556,  -0.7952,  -0.3177,  -0.5215,   0.4395,   1.2487,  -1.3223,  -1.5775,  -1.8049,  -0.7155,   0.3491
196504,   4.0673,   4.4088,   4.5002,   4.4508,   4.6372,   0.1507,   5.0346,   3.8264,   4.8201,   5.1431,   2.4942,   3.1188,   3.8854,   3.7269,   5.9095,   2.6199,   3.1970,   4.5019,   4.3912,   2.7151,   4.5841,   1.8741,   2.1659,   2.2052,   4.4472
196505,  -0.4533,  -2.6027,  -0.7366,  -0.7971,  -1.1928,   1.0558,  -0.7126,  -1.1650,   0.1118,  -2.0624,  -0.0216,   0.2524,  -1.0239,  -0.8095,  -0.0256,  -0.9613,   0.0357,  -1.0189,  -0.3614,  -4.0819,  -0.7392,   0.8349,  -0.0801,  -0.3532,  -3.5682
196506, -12.5826, -10.4242,  -9.4378,  -7.9016,  -9.5466, -10.3792,  -8.5925,  -8.9398,  -8.4153,  -8.2828,  -6.5044,  -9.2137,  -8.5060,  -8.7817,  -8.4265,  -6.3508,  -6.9696,  -8.0006,  -8.6617,  -8.3029,  -4.4306,  -3.6623,  -4.9342,  -3.6044,  -5.4677
196507,   2.4066,   3.5235,   3.5835,   2.0599,   4.4344,   3.7763,   1.6586,   2.9233,   3.4551,   4.1702,   1.5471,   4.5216,   2.5779,   4.4099,   4.9453,   2.6113,   3.1904,   4.0197,   2.6533,   6.2405,   1.5245,  -0.0022,   1.8997,   3.8748,   4.8239
196508,   2.6822,   5.4187,   5.1589,   4.1396,   3.7423,   7.2889,   4.2314,   5.0365,   4.8869,   4.0710,   8.3161,   4.5844,   7.7311,   3.1778,   6.5716,   3.7937,   4.0947,   5.1162,   2.9962,   4.8756,   3.2621,   1.2963,   3.4495,   1.1232,   2.1656
196509,   3.4635,   5.8827,   1.4205,   3.9424,   3.1979,   5.8302,   3.7853,   2.7156,   4.6303,   2.9301,   2.4738,   2.8212,   3.2943,   5.2629,   4.6037,   3.4979,   4.0215,   1.4241,   2.9038,   3.8430,   3.9272,   2.3025,   2.3895,   3.5201,   3.2158
196510,   6.0900,   9.0359,   6.0719,   5.6444,   9.1139,   4.0884,   7.8661,   3.7498,   5.8880,   5.2867,   4.6122,   4.3104,   5.5895,   5.7282,   5.0518,   4.0576,   3.3465,   3.0869,   4.4819,   8.0751,   3.1384,   0.2141,   3.0055,   4.4222,   5.2227
196511,   4.1108,   6.7151,   2.7700,   7.7864,   6.6006,   1.4172,   5.1589,   4.4189,   5.1748,   3.8633,   3.2219,   2.9017,   5.5331,   2.7199,   3.1658,   3.8065,   2.6728,   3.3122,   1.0412,   5.4646,  -0.3037,  -1.8238,   1.2479,  -1.2821,  -2.3036
196512,   7.1532,   6.7860,   2.2027,   4.2464,   4.7762,   4.0358,   3.8095,   3.3143,   2.6799,   7.4888,   2.6918,   1.3494,   4.2088,   1.5634,   5.2408,   1.3855,   1.1935,   1.7102,   4.3218,   5.2964,   1.0103,  -0.2234,   1.3169,   2.7992,   2.7121
196601,   5.5518,   6.4141,   8.3053,   9.6316,   9.2801,   4.6230,   6.1740,   4.6763,   5.1673,   6.4828,   4.4393,   2.4681,   2.9687,   4.7354,   5.9454,   0.8846,   1.7564,   4.6004,   4.2525,   6.1422,  -0.3719,  -0.5690,   1.7656,   3.0563,   3.1511
196602,   6.8533,   5.8387,   1.7593,   4.6055,   6.1396,   5.3038,   4.6513,   1.8309,  -0.2562,   3.6894,  -0.4344,   1.3550,   4.6984,   1.7218,   3.8238,   1.5307,  -0.8492,   0.2550,   0.6130,   2.5313,  -1.3268,  -2.2951,  -1.6785,  -1.9663,  -1.7206
196603,   1.7780,  -1.4505,  -2.5208,  -0.6262,  -1.1293,   0.4078,  -2.0192,  -2.0994,  -3.3140,  -1.5007,  -1.6377,  -4.9439,  -2.5437,  -3.2736,  -3.7993,   0.1178,  -1.2423,  -3.2943,  -2.3960,  -3.3845,  -1.4740,  -3.4556,  -1.0406,  -2.1509,  -5.0556
196604,  10.8642,   4.1206,   6.0193,   7.0756,   3.6771,   2.5916,   4.7730,   3.7700,   7.5858,   8.5654,   4.2043,   3.5188,   3.5922,   4.4141,   2.6322,   3.8079,   2.7161,   3.6244,   4.8265,   0.7678,   2.1117,   2.0003,   1.0929,   2.4061,   1.7993
196605, -12.3635, -13.2334, -10.4776, -10.9486, -11.6331,  -9.6304,  -9.5306,  -8.4620, -10.2249,  -9.0492,  -5.7662,  -6.6357,  -8.0620, -10.3691,  -9.8697,  -4.9893,  -5.2287,  -6.4833,  -8.8171, -10.2329,  -4.1889,  -3.9395,  -4.8857,  -5.5063,  -5.4631
196606,  -0.7671,  -0.2075,   1.4010,   1.4793,   0.2638,   1.7673,  -0.2348,   0.0630,  -0.6132,   0.1560,   0.5126,  -0.0867,   2.6328,  -0.6306,  -0.3767,  -0.8970,  -0.3524,  -0.2825,   3.3478,   1.0517,  -1.9986,  -1.4830,  -0.5781,   0.8559,  -1.1902
196607,  -2.1388,  -1.7255,  -2.3239,   0.0773,  -0.9346,  -3.1661,  -2.0021,  -0.9270,  -1.6524,  -1.4389,  -0.9862,  -2.1759,  -0.9738,  -0.6861,  -1.3429,  -0.6606,  -1.6463,  -1.9519,  -2.6233,  -2.2441,  -1.6864,  -1.4760,  -0.7469,   0.9135,  -1.3260
196608, -12.2422, -10.2272,  -9.8261, -10.9850, -10.4427, -12.7692, -10.0422,  -9.7425,  -9.7205, -10.8917, -10.7264,  -8.4286,  -8.0313, -10.0846,  -8.6635,  -9.3882,  -7.5260,  -8.0734,  -7.2876,  -9.2109,  -7.1873,  -8.6690,  -5.5952,  -6.1912,  -7.9624
196609,  -1.9653,  -2.2733,  -1.6822,  -1.8208,  -1.1555,  -1.8229,   0.7835,  -1.7058,  -1.4415,  -2.1501,  -2.2912,  -4.5121,   0.2213,  -0.3212,  -1.2326,  -1.1094,   0.0352,  -0.7061,  -3.2133,  -0.6075,  -1.3094,   0.7863,   0.6054,   0.2753,  -1.6179
196610,  -7.9527,  -4.3787,  -4.1835,  -1.2289,  -1.4944,  -5.3684,  -0.5824,  -0.7984,   0.1956,  -0.2615,  -1.6159,   1.0486,   3.6246,   4.9740,   1.7167,   0.5359,   4.7634,   4.1081,   2.9427,   1.7364,   2.9392,   5.7004,   9.1492,   6.2743,   6.5077
196611,   8.2293,   4.0466,   4.5334,   2.3188,   3.6204,   7.7621,   3.0451,   7.2883,   1.6511,   2.5735,   9.1941,   6.0339,   1.4760,   4.4291,   0.5999,   8.4117,   1.7034,   0.8693,   3.0128,   0.7859,   3.6719,   1.8785,  -2.4030,  -1.4293,  -1.0731
196612,   3.7517,   2.7689,   1.9264,   1.4639,   0.1605,   4.7562,   3.4145,   1.4193,   2.1538,   0.7955,   2.7662,   3.2233,   1.2665,   3.1186,  -0.3755,   3.0796,   2.4927,   1.0425,   3.6426,   1.8788,  -0.8710,  -0.0203,   1.5461,  -0.1425,  -0.1227
196701,  20.7873,  19.2463,  18.6627,  21.6407,  17.3214,  16.9703,  16.3877,  17.1297,  17.4463,  20.3187,  16.8032,  14.6888,  12.2318,  13.2375,  14.3608,   9.7234,   6.6688,   9.7651,  12.2756,  13.6968,   7.7322,   7.0495,   4.9290,   7.8591,  13.7899
196702,   6.9062,   6.0115,   5.5473,   3.8680,   5.8963,   3.2435,   2.6625,   1.0636,   3.8310,   1.6754,   2.1013,   2.3851,   1.6078,   0.7578,   0.7838,   2.7884,  -0.3777,  -0.4044,   1.6263,   0.1613,   2.3014,   0.8070,  -0.8478,  -0.8658,  -1.3300
196703,   7.1556,   6.3849,   5.0485,   7.7346,   5.1658,   6.8640,   6.2537,   7.2256,   6.5663,   6.1164,   5.3654,   5.3427,   4.6791,   7.9911,   4.2109,   6.0000,   3.9268,   5.2122,   5.2666,   6.4914,   4.2598,   2.9344,   3.3529,   4.6729,   5.3175
